"id","symbol","price_date","open_price","high_price","low_price","close_price","volume"
1472437,"URTH","2023-03-14","107.0399","107.6210","106.1634","107.2875","146200"
1472408,"URTH","2023-03-13","104.9631","106.7445","104.5725","105.6776","305700"
1472379,"URTH","2023-03-10","107.3352","107.7925","105.6585","105.9824","287100"
1472350,"URTH","2023-03-09","109.3929","109.7930","107.2780","107.5067","176800"
1472321,"URTH","2023-03-08","109.1071","109.4501","108.6689","109.2214","171200"
1472292,"URTH","2023-03-07","110.6790","110.6790","108.7927","108.9642","71300"
1472263,"URTH","2023-03-06","110.8791","111.3554","110.6028","110.7171","115000"
1472234,"URTH","2023-03-03","109.6025","110.8409","109.4120","110.7647","1060800"
1472205,"URTH","2023-03-02","107.8687","109.2595","107.7544","109.0595","174100"
1472176,"URTH","2023-03-01","108.6784","108.8975","108.0401","108.4402","188300"
1472147,"URTH","2023-02-28","108.8785","109.2024","108.5736","108.5832","718000"
1472118,"URTH","2023-02-27","109.3738","109.7168","108.7642","108.9452","242800"
1472089,"URTH","2023-02-24","108.1830","108.4593","107.7162","108.2688","144500"
1472060,"URTH","2023-02-23","109.9264","110.0026","108.5546","109.7168","205600"
1472031,"URTH","2023-02-22","109.5167","109.7740","108.8404","109.1928","217600"
1472002,"URTH","2023-02-21","110.2979","110.5837","109.3548","109.4405","173400"
1471969,"URTH","2023-02-17","110.9838","111.4506","110.5456","111.3458","282800"
1471940,"URTH","2023-02-16","111.6126","112.6605","111.4221","111.6126","481400"
1471911,"URTH","2023-02-15","111.8793","112.8415","111.6888","112.8415","733500"
1471882,"URTH","2023-02-14","112.1556","113.2035","111.5459","112.6796","115600"
1471853,"URTH","2023-02-13","111.5269","112.6129","111.3935","112.5367","212500"
1471824,"URTH","2023-02-10","110.8981","111.3935","110.6504","111.2982","173200"
1471795,"URTH","2023-02-09","113.1559","113.1559","110.9934","111.2887","126000"
1471766,"URTH","2023-02-08","112.5748","112.8415","111.7745","111.9651","182400"
1471737,"URTH","2023-02-07","111.4125","113.2702","111.1458","113.0320","206900"
1471708,"URTH","2023-02-06","111.7364","112.0032","111.2029","111.7460","145700"
1471679,"URTH","2023-02-03","112.4509","113.6513","112.2699","112.5748","417400"
1471650,"URTH","2023-02-02","113.5369","114.1085","112.8796","113.7751","572100"
1471621,"URTH","2023-02-01","111.3077","113.2512","110.6599","112.6415","228000"
1471592,"URTH","2023-01-31","110.2217","111.5173","110.0312","111.4697","192900"
1471563,"URTH","2023-01-30","110.6790","111.2506","110.0979","110.1550","486500"
1471534,"URTH","2023-01-27","110.8790","111.9270","110.8028","111.4125","462000"
1471505,"URTH","2023-01-26","110.8600","111.2506","110.0788","111.2506","147600"
1471476,"URTH","2023-01-25","109.1262","110.3741","108.6975","110.3360","112000"
1471447,"URTH","2023-01-24","109.7930","110.2884","109.3834","110.1169","126100"
1471418,"URTH","2023-01-23","109.2595","110.5933","108.9928","110.2217","367200"
1471389,"URTH","2023-01-20","107.7067","109.1833","107.3161","109.1357","288400"
1471360,"URTH","2023-01-19","107.4971","107.9544","107.0399","107.4114","250900"
1471331,"URTH","2023-01-18","109.9169","110.1550","108.0306","108.0973","431900"
1471302,"URTH","2023-01-17","109.5644","109.8692","109.1262","109.3548","680200"
1471269,"URTH","2023-01-13","108.1259","109.4501","108.0973","109.3643","288700"
1471240,"URTH","2023-01-12","108.5451","109.1357","107.4781","108.8785","178600"
1471211,"URTH","2023-01-11","107.3352","108.0497","107.1637","108.0401","181600"
1471182,"URTH","2023-01-10","106.0682","106.8779","105.8395","106.8779","111000"
1471153,"URTH","2023-01-09","106.9351","107.6496","106.2206","106.2968","459800"
1471124,"URTH","2023-01-06","104.5058","106.3921","103.8104","106.1729","287600"
1471095,"URTH","2023-01-05","104.2962","104.2962","103.6484","103.7246","196800"
1471066,"URTH","2023-01-04","104.8678","105.4108","104.0295","104.9536","223500"
1471037,"URTH","2023-01-03","104.8297","105.3346","103.2578","103.9342","592600"
